pincode,latitude,longitude
385330,24.109072,71.7616596
141007,30.9254676,75.8788052
384265,23.7953537,72.1394727
786171,27.3945708,95.6220491
600069,13.0001119,80.0967722
800001,25.6091102,85.150958
787031,27.256833,94.0632464
783384,26.3316475,90.6902258
783339,26.1790088,89.9553785
390019,22.3029183,73.2326586
263139,29.2095802,79.52996
385001,24.175825,72.4175601
202001,27.8918254,78.0813421
248001,30.3320846,78.0402168
560066,12.9668492,77.7516428
283111,27.0211182,78.3146785
786174,27.4092233,95.7675136
782446,25.9174532,92.9529097
560100,12.8502428,77.6545244
524002,14.4607446,79.9883619
560077,13.0608062,77.6548332
793015,25.4231043,91.9186276
389180,22.996101,74.1777386
283201,27.3190999,78.1942472
363641,22.8118032,70.8319219
492001,21.2387328,81.6511241
273001,26.7502759,83.3751258
282006,27.1897853,78.0449831
203205,28.4529508,77.6966039
281204,27.5575987,77.7916007
845307,26.9222034,84.5278083
494444,18.8084358,80.8261523
815353,24.2315393,86.6631728
389170,23.0917908,74.146602
494447,18.79,80.81
385535,24.2735443,72.0806119
281201,27.8871571,77.6856069
842002,26.1114293,85.3946925
385120,24.1617422,72.7720604
385320,24.0630719,71.5778996
210001,25.4478269,80.4056473
370001,23.2978986,69.6509641
793105,25.8244961,91.992491
784116,26.5529799,92.2038282
781102,26.2310803,91.5606964
473335,24.8427757,77.8006065
273305,27.1313509,83.774903
734010,26.7251239,88.3846899
788831,25.3181745,93.1778036
793112,25.250951,91.6720881
834001,23.3729526,85.3370877
394107,21.2433937,72.8495991
431806,19.149985,77.4646116
473443,24.3826606,78.0429178
785112,26.8350662,94.4132774
362265,20.9221898,70.3585402
421004,19.2107375,73.1615473
784507,26.793939,92.291048
226005,26.8068315,80.9062224
781025,26.1510061,91.7463395
783120,26.0754016,90.483334
843313,26.7396987,85.2768113
364002,21.7743227,72.1509749
793008,25.5946241,91.8952167
785613,26.5296017,93.7810454
782435,26.0049667,92.8535818
843315,26.503,85.51165
844127,25.5320178,85.3668289
440034,21.1010776,79.1187202
384240,23.6926679,71.9067556
425001,21.0044721,75.5558175
390022,22.3322802,73.2212667
431512,19.3347908,77.1521679
413201,18.741788,75.2832068
382721,23.233668,72.5152462
477001,26.4835254,78.7943423
793108,25.2408856,91.7199937
700159,22.6075352,88.4312017
208004,26.4515566,80.3577958
110040,28.8484009,77.0896352
793016,25.5739167,91.8848611
811213,25.2331962,86.554164
782120,26.4406895,92.6840538
560047,12.9567959,77.6165499
797001,25.6714347,94.1030947
343049,24.937548,72.242301
271824,27.5716437,81.4472607
781372,26.6632486,91.3466388
387001,22.6890981,72.8663694
390001,22.3011132,73.2047281
781334,26.4011104,91.425466
141012,30.8841659,75.7909553
387430,22.8235497,72.8793928
786614,27.28,95.24
390020,22.2968692,73.1705383
401209,19.4173258,72.8266732
853204,25.4506416,86.9485175
395004,21.2231432,72.8238635
342301,27.1489193,72.3001052
110003,28.5969214,77.2235225
824231,24.6736885,84.9810978
383422,24.3697565,73.0311194
797112,25.8767771,93.7065561
788005,24.8092065,92.7965014
210121,25.5873505,80.6105874
787055,27.1772549,94.3919422
385555,23.9691228,71.8211087
801505,25.5809661,85.0784447
261505,27.7897857,80.2753695
781011,26.1557411,91.7004966
560029,12.9308405,77.6074782
360022,22.192736,70.7729653
401107,19.2803884,72.8723551
843103,26.2050156,85.5466866
360370,21.7561314,70.6205393
415523,17.9796478,74.4351767
782442,25.9850949,92.9242304
460001,21.885255,77.8832841
782486,25.8626482,92.4879935
783394,26.633388,90.476963
110017,28.5414714,77.2128819
385530,24.190888,72.0342791
410206,18.9942507,73.1144637
786191,27.34,95.35
786610,27.2769362,95.3305205
733134,25.6269526,88.1546047
473101,24.3842746,77.4124688
821106,25.0877229,83.551741
797005,25.5641573,94.1440385
560103,12.9170541,77.6723963
784525,26.5932761,91.9765885
362275,20.862231,70.5364804
328022,26.6380687,77.4151794
795128,24.3434304,93.5984484
845453,26.9932086,84.3279543
431705,19.4891342,77.0388669
208003,26.4608883,80.3261292
343040,24.7785484,72.0869047
208007,26.3237948,80.5266009
781009,26.1654661,91.732942
782439,26.0592246,92.9633661
393001,21.6256681,73.0070457
223104,25.9176854,82.6147937
721517,22.2498929,86.8829006
451001,21.8427138,75.5860891
110085,28.7195133,77.1150401
391152,22.0386024,73.8808727
390009,22.2730733,73.2065965
783330,26.0147906,90.0736069
364001,21.76583,72.1343569
400058,19.1216938,72.8396439
788155,24.6792662,92.5721541
389341,22.6150851,73.7055146
782485,25.9800838,92.7444771
783135,25.7231244,89.9025143
243601,28.0150449,79.1350994
